terms,arg_types,return_type,type,is_init,count,comp_lp
"[SB,[B,mulnn,[K,getStripe,Egg(S1,O3)]],[SC,[BB,mulnn,[BK,getDot,I]],[B,[subnn,3],getDot]]]",egg_num,num,program,0.0,2.0,-21.29394703394559
"[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[BB,getDot,[BK,I,I]]]",egg_num,num,program,0.0,2.0,-16.75331536909507
"[BC,[B,mulnn,[B,[addnn,0],[B,I,I]]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-14.832478857591871
"[SC,[BK,subnn,[S,[B,mulnn,getDot],getStripe]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,1.0,-14.609335306277664
"[SK,[B,subnn,[S,[B,mulnn,getStripe],getDot]],getDot]",egg_num,num,program,0.0,1.0,-9.821843563495618
"[CB,[B,mulnn,[B,[mulnn,1],getDot]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-14.832478857591871
"[SK,[B,mulnn,[B,[mulnn,1],getDot]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,5.0,-14.139331677031928
"[CB,[B,mulnn,[B,getDot,I]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,2.0,-11.43128147592972
"[SK,[B,mulnn,[B,[subnn,3],getDot]],[B,getDot,I]]",egg_num,num,program,0.0,5.0,-10.738134295369772
"[SK,[B,mulnn,[C,[B,subnn,getStripe],1]],getDot]",egg_num,num,program,0.0,4.0,-10.738134295369772
"[CB,[B,subnn,[S,[B,mulnn,getStripe],getDot]],[B,I,I]]",egg_num,num,program,0.0,2.0,-10.514990744055565
"[BC,[B,mulnn,[B,[subnn,3],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,7.0,-11.43128147592972
"[SS,[KB,mulnn,[B,[subnn,3],[B,I,I]]],[KB,I,I]]",egg_num,num,program,0.0,2.0,-13.510723017609552
"[KS,[B,subnn,[B,[mulnn,3],[B,I,I]]],[S,[B,mulnn,[B,I,I]],[B,I,I]]]",egg_num,num,program,0.0,1.0,-15.995629667397552
"[SC,[BB,mulnn,[CK,[B,subnn,getStripe],1]],[S,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,1.0,-17.605067579831655
"[SC,[BK,mulnn,[B,[subnn,3],getDot]],[B,getDot,I]]",egg_num,num,program,0.0,2.0,-11.43128147592972
"[SK,[B,subnn,[S,[B,mulnn,getStripe],getDot]],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,2.0,-13.916188125717715
"[CB,[B,mulnn,[B,[subnn,3],getDot]],[S,[K,addnn,0],[B,I,I]]]",egg_num,num,program,0.0,1.0,-15.52562603815182
"[SC,[KB,mulnn,[S,[K,mulnn,1],[B,I,I]]],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-16.911920399271708
"[SS,[KB,mulnn,[B,[subnn,0],[B,I,I]]],[SC,[KK,subnn,1],getStripe]]",egg_num,num,program,0.0,1.0,-18.2982147603916
"[CS,[BB,mulnn,[SK,[K,subnn,3],getDot]],[B,[addnn,0],[B,I,I]]]",egg_num,num,program,0.0,2.0,-17.605067579831655
"[SB,[B,mulnn,[S,[K,subnn,3],getDot]],[KB,I,I]]",egg_num,num,program,0.0,5.0,-12.81757583704961
"[CS,[BK,mulnn,[B,getDot,I]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,2.0,-12.124428656489664
"[CS,[KB,mulnn,[B,[subnn,3],[B,I,I]]],[C,[B,subnn,[B,I,I]],0]]",egg_num,num,program,0.0,1.0,-16.911920399271708
"[SB,[B,mulnn,[S,[K,mulnn,1],getDot]],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-16.911920399271708
"[SC,[BK,mulnn,[S,[K,subnn,3],getDot]],getDot]",egg_num,num,program,0.0,1.0,-11.431281475929715
"[SB,[B,mulnn,getDot],[CB,[K,subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.817575837049608
