terms,arg_types,return_type,type,is_init,count,comp_lp
"[BS,[K,mulnn,1],[SS,[BK,mulnn,getStripe],[SC,[BB,subnn,[KB,I,I]],getDot]]]",egg_num,num,program,0.0,2.0,-20.84765993131717
"[SS,[BK,mulnn,[B,[addnn,0],getStripe]],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,4.0,-17.381924028517446
"[BB,[mulnn,1],[BB,[mulnn,1],[SB,[B,mulnn,[B,getStripe,I]],[BC,[B,subnn,[B,I,I]],getDot]]]]",egg_num,num,program,0.0,1.0,-23.55571013241938
"[SS,[BB,mulnn,[BK,getStripe,I]],[SC,[BB,subnn,[KB,I,I]],getDot]]",egg_num,num,program,0.0,2.0,-16.060168188535123
"[SS,[BK,mulnn,getStripe],[BC,[B,addnn,[B,I,I]],[S,[K,subnn,0],getDot]]]",egg_num,num,program,0.0,2.0,-17.381924028517446
"[CC,[BB,mulnn,[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]],1]",egg_num,num,program,0.0,11.0,-18.768218389637337
"[BB,[addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],getDot]]",egg_num,num,program,0.0,1.0,-18.07507120907739
"[SB,[B,addnn,[B,[subnn,0],getDot]],[CB,[B,mulnn,getStripe],[B,I,I]]]",egg_num,num,program,0.0,4.0,-15.995629667397557
"[SB,[B,mulnn,[B,getStripe,I]],[BC,[B,subnn,[B,I,I]],[B,getDot,I]]]",egg_num,num,program,0.0,3.0,-13.287579466295345
"[SB,[B,mulnn,getStripe],[BS,[K,addnn,0],[BC,[B,subnn,[B,I,I]],[B,getDot,I]]]]",egg_num,num,program,0.0,4.0,-18.768218389637333
"[SB,[K,mulnn,1],[SB,[B,mulnn,getStripe],[BK,[subnn,4],[S,[B,addnn,getDot],getStripe]]]]",egg_num,num,program,0.0,2.0,-21.476268590739544
"[BB,[addnn,0],[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],[B,getDot,I]]]]",egg_num,num,program,0.0,1.0,-18.07507120907739
"[BS,[B,mulnn,[K,getDot,Egg(S1,O1)]],[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,1.0,-21.763950663191327
"[SB,[B,mulnn,[K,[mulnn,1],1]],[BB,[mulnn,1],[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]]]",egg_num,num,program,0.0,1.0,-28.343201875201427
"[BS,[K,addnn,0],[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],getStripe]]",egg_num,num,program,0.0,4.0,-18.768218389637337
"[SC,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],[B,getStripe,I]]",egg_num,num,program,0.0,4.0,-13.287579466295345
"[SS,[BB,mulnn,[BC,[B,subnn,[B,I,I]],getDot]],[CK,[B,mulnn,getStripe],1]]",egg_num,num,program,0.0,5.0,-18.768218389637337
"[SB,[B,mulnn,[C,[B,subnn,getStripe],0]],[BC,[B,subnn,[C,[B,addnn,[B,I,I]],0]],getDot]]",egg_num,num,program,0.0,1.0,-21.476268590739547
"[SC,[BB,subnn,[SS,[BK,mulnn,[B,[addnn,0],getStripe]],[SC,[KB,subnn,[B,I,I]],getDot]]],[C,[K,subnn,3],3]]",egg_num,num,program,0.0,1.0,-29.036349055761374
"[SB,[K,addnn,0],[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]]",egg_num,num,program,0.0,6.0,-18.768218389637337
"[SB,[B,mulnn,[C,[B,mulnn,getStripe],1]],[BC,[B,addnn,[B,I,I]],[B,[subnn,0],getDot]]]",egg_num,num,program,0.0,1.0,-20.7831214101796
"[SB,[B,mulnn,[K,getStripe,Egg(S1,O0)]],[SB,[K,addnn,0],[SC,[BB,mulnn,[SB,[B,subnn,getDot],[KB,I,I]]],[B,[subnn,0],getStripe]]]]",egg_num,num,program,0.0,1.0,-33.418375690435255
