terms,arg_types,return_type,type,is_init,count,comp_lp
"[SB,[K,addnn,0],[BB,[addnn,0],[SS,[KK,addnn,0],[BB,[addnn,0],[SS,[BB,addnn,[SB,[K,addnn,0],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[CK,[B,addnn,getDot],0]]]],[SC,[KK,mulnn,0],getStripe]]]]]]",egg_num,num,program,0.0,4.0,-61.761577565636685
"[SC,[BB,addnn,[BB,[addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,[addnn,0],getDot]]]],[C,[K,mulnn,3],0]]",egg_num,num,program,0.0,3.0,-33.823840798543415
"[SC,[BB,addnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,13.0,-18.768218389637337
"[BB,[mulnn,1],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[BK,[addnn,0],getDot]]]",egg_num,num,program,0.0,8.0,-23.55571013241938
"[SS,[KB,addnn,[K,[mulnn,1],0]],[BB,[mulnn,1],[SS,[BB,mulnn,[KK,getStripe,Egg(S1,O3)]],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[BB,getDot,[BK,I,I]]]]]]",egg_num,num,program,0.0,1.0,-43.75104487769686
"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],getDot]",egg_num,num,program,0.0,17.0,-13.980726646855288
"[BB,[addnn,0],[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,[addnn,0],getDot]]]",egg_num,num,program,0.0,5.0,-22.16941577129949
"[BB,[subnn,4],[BB,[subnn,4],[SC,[BB,addnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],[B,[subnn,0],getDot]]]]",egg_num,num,program,0.0,4.0,-29.72949623632132
"[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,11.0,-13.287579466295345
"[SS,[BB,mulnn,[BB,[mulnn,1],[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[C,[B,addnn,getDot],0]]]],[KK,getDot,Egg(S3,O1)]]",egg_num,num,program,0.0,1.0,-34.111522870995195
"[BS,[K,addnn,0],[SS,[KB,addnn,[K,[addnn,0],0]],[SC,[BB,addnn,[SS,[BB,subnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[BK,getDot,I]]],[K,[subnn,1],1]]]]",egg_num,num,program,0.0,5.0,-44.15650998580504
"[CC,[BB,mulnn,[SB,[B,addnn,[B,[subnn,0],getDot]],[CS,[BK,mulnn,getStripe],[B,I,I]]]],1]",egg_num,num,program,0.0,1.0,-23.55571013241938
"[BS,[K,mulnn,1],[SS,[KK,addnn,0],[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]]]",egg_num,num,program,0.0,2.0,-26.328298854659163
"[SC,[BB,subnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],[S,[K,addnn,0],getDot]]",egg_num,num,program,0.0,3.0,-19.46136557019728
"[CS,[BB,addnn,[BS,[K,addnn,0],[BS,[K,mulnn,1],[SS,[KK,addnn,0],[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]]]]],[S,[K,mulnn,0],[B,I,I]]]",egg_num,num,program,0.0,1.0,-43.933366434490814
"[SB,[K,addnn,0],[BB,[mulnn,1],[SC,[BB,mulnn,[BS,[B,addnn,[K,getDot,Egg(S2,O0)]],[BB,[mulnn,1],[CS,[BB,subnn,[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[C,[B,addnn,getDot],0]]],[K,[subnn,0],0]]]]],[K,getDot,Egg(S3,O1)]]]]",egg_num,num,program,0.0,1.0,-64.51044976125914
"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,5.0,-16.6887768479575
