"","model","expt","condition","phase","trial","params","LL"
"64","AG","exp_2","construct","B",8,1.75352423489998,-135.699112639823
"65","AG","exp_2","decon","A",1,2.18904640459155,-137.727434909926
"66","AG","exp_2","decon","A",2,2.14233853393669,-133.926075343866
"67","AG","exp_2","decon","A",3,2.23488333749993,-148.174183328771
"68","AG","exp_2","decon","A",4,2.04462396123826,-134.505246304597
"69","AG","exp_2","decon","A",5,2.23021461928307,-144.626340484925
"70","AG","exp_2","decon","A",6,2.3358725676635,-158.01945928308
"71","AG","exp_2","decon","A",7,2.34997415086543,-160.516019683662
"72","AG","exp_2","decon","A",8,2.29895087663194,-154.890529085488
"73","AG","exp_2","decon","B",1,1.39317040486748,-126.596443121479
"74","AG","exp_2","decon","B",2,2.00238443504688,-163.597177476183
"75","AG","exp_2","decon","B",3,1.77858451503646,-145.777200555743
"76","AG","exp_2","decon","B",4,1.94359218550741,-158.828136643916
"77","AG","exp_2","decon","B",5,1.73009646880675,-141.309605960102
"78","AG","exp_2","decon","B",6,1.96979927470042,-158.243313470017
"79","AG","exp_2","decon","B",7,2.00899341400061,-165.309319732488
"80","AG","exp_2","decon","B",8,1.79258894537445,-141.307025276822
"81","AG","exp_2","combine","A",1,1.48972192208978,-134.494571861699
"82","AG","exp_2","combine","A",2,1.78386204411576,-166.220925852606
"83","AG","exp_2","combine","A",3,1.47090106861339,-133.677202678183
"84","AG","exp_2","combine","A",4,1.76555826110177,-164.111935014746
"85","AG","exp_2","combine","A",5,1.50247256111484,-136.305615667633
"86","AG","exp_2","combine","A",6,1.47251096471276,-133.859319292208
"87","AG","exp_2","combine","A",7,1.71869281937226,-158.490633052601
"88","AG","exp_2","combine","A",8,1.53824887746827,-138.970517527183
"89","AG","exp_2","combine","B",1,1.4955567450029,-108.137378042137
"90","AG","exp_2","combine","B",2,2.03035314211795,-168.002231153625
"91","AG","exp_2","combine","B",3,1.83861323056036,-139.912121842108
"92","AG","exp_2","combine","B",4,1.87411718989475,-150.793404970153
"93","AG","exp_2","combine","B",5,1.86658545297031,-143.525496800327
"94","AG","exp_2","combine","B",6,1.72493175444423,-126.331555494972
"95","AG","exp_2","combine","B",7,2.05095939977657,-170.842495906374
"96","AG","exp_2","combine","B",8,1.80026362575314,-134.656493161762
