,pred_list,terms,count
10,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BK,[subnn,4],getStripe]",189
11,"1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0","[BC,[B,subnn,getLength],getDot]",159
12,"0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1","[KC,[B,subnn,getLength],3]",83
13,"0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0","[CB,[B,subnn,getDot],getLength]",183
14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","[CK,[B,subnn,getDot],3]",62
15,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","[CK,[B,subnn,getStripe],1]",438
16,"1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8","[BC,[B,addnn,getLength],getDot]",92
17,"4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0","[KB,[mulnn,2],[B,[subnn,3],getLength]]",275
18,"0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0","[BC,[B,mulnn,[B,[subnn,3],getLength]],getDot]",62
19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0","[BC,[B,mulnn,[B,[subnn,3],getLength]],getStripe]",40
20,"2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0","[KS,[B,mulnn,getLength],[B,[subnn,3],getLength]]",208
21,"5,4,3,2,4,3,2,1,3,2,1,0,2,1,0,0,1,0,0,0,5,4,3,2,4,3,2,1,3,2,1,0,2,1,0,0,1,0,0,0,5,4,3,2,4,3,2,1,3,2,1,0,2,1,0,0,1,0,0,0,5,4,3,2,4,3,2,1,3,2,1,0,2,1,0,0,1,0,0,0,5,4,3,2,4,3,2,1,3,2,1,0,2,1,0,0,1,0,0,0","[BC,[B,addnn,[S,[K,subnn,3],getLength]],[B,[subnn,3],getDot]]",39
22,"3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0,3,4,3,0","[BS,[B,addnn,getLength],[SS,[KB,mulnn,[S,[K,subnn,3],getLength]],[KB,getLength,I]]]",16
23,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,3,6,9,12,3,6,9,12,3,6,9,12,3,6,9,12,3,6,9,12,4,8,12,16,4,8,12,16,4,8,12,16,4,8,12,16,4,8,12,16","[BC,[B,mulnn,getLength],getStripe]",78
24,"3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0,3,6,9,12,2,4,6,8,1,2,3,4,0,0,0,0,0,0,0,0","[BC,[B,mulnn,getLength],[B,[subnn,3],getDot]]",595
25,"2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0,2,4,0,0","[BS,[B,mulnn,getLength],[SS,[KB,mulnn,[S,[K,subnn,3],getLength]],[KB,getLength,I]]]",16
26,"0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0","[SK,[B,mulnn,getDot],[B,[subnn,3],getDot]]",276
27,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0,12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0","[SK,[B,mulnn,getStripe],[B,[subnn,3],getDot]]",264
28,"6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,3,0,0","[BB,[mulnn,3],[BB,[subnn,3],[KB,getLength,I]]]",5
29,"8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0","[BB,[mulnn,4],[BB,[subnn,3],[KB,getLength,I]]]",5
30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,2,0,0,6,3,0,0,8,4,0,0,0,0,0,0,4,2,0,0,8,4,0,0,12,6,0,0,16,8,0,0,0,0,0,0,6,3,0,0,12,6,0,0,16,9,0,0,16,12,0,0,0,0,0,0,8,4,0,0,16,8,0,0,16,12,0,0,16,16,0,0","[SB,[B,mulnn,[S,[B,mulnn,getStripe],getDot]],[BB,[subnn,3],[KB,getLength,I]]]",3
31,"4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1","[SS,[BB,mulnn,[BB,[subnn,3],[KB,getLength,I]]],[BB,[subnn,3],[KB,getLength,I]]]",1
32,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BK,[subnn,3],[S,[B,mulnn,getStripe],getDot]]",4
33,"1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[BC,[B,subnn,getLength],[S,[B,mulnn,getStripe],getDot]]",5
34,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,2,1,0,0,5,4,3,2,8,7,6,5,11,10,9,8,0,0,0,0,3,2,1,0,7,6,5,4,11,10,9,8,15,14,13,12","[CB,[B,subnn,[S,[B,mulnn,getStripe],getDot]],getLength]",6
35,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,0,0,0,0,1,1,1,1,4,4,4,4,7,7,7,7,10,10,10,10,0,0,0,0,2,2,2,2,6,6,6,6,10,10,10,10,14,14,14,14","[CK,[B,subnn,[S,[B,mulnn,getStripe],getDot]],2]",2
36,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,5,0,0,0,0,0,0,0,0,3,3,3,3,6,6,6,6,9,9,9,9,0,0,0,0,1,1,1,1,5,5,5,5,9,9,9,9,13,13,13,13","[CK,[B,subnn,[S,[B,mulnn,getStripe],getDot]],3]",2
37,"0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","[SK,[B,subnn,getDot],[S,[B,mulnn,getStripe],getDot]]",4
38,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,8,8,8,8,0,0,0,0,3,3,3,3,6,6,6,6,9,9,9,9,12,12,12,12","[SK,[B,mulnn,getDot],[C,[B,subnn,getStripe],1]]",24
39,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,0,0,0,0,0,0,0,0,3,3,3,3,6,6,6,6,9,9,9,9,0,0,0,0,0,0,0,0,4,4,4,4,8,8,8,8,12,12,12,12","[SK,[B,subnn,[S,[B,mulnn,getStripe],getDot]],getStripe]",2
40,"6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0","[BK,[mulnn,2],[B,[subnn,3],getDot]]",149
41,"0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6","[BC,[B,subnn,getLength],[B,[subnn,2],getStripe]]",3
42,"1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,5,4,3,2,5,4,3,2,5,4,3,2,5,4,3,2,5,4,3,2","[CB,[B,subnn,[B,[addnn,2],getStripe]],getLength]",20
43,"0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6","[SK,[B,subnn,getDot],[B,[subnn,2],getStripe]]",2
44,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6","[BK,[mulnn,2],[C,[B,subnn,getStripe],1]]",114
45,"2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2","[SK,[B,subnn,[B,[addnn,2],getStripe]],getDot]",42
46,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","[CK,[B,subnn,[B,[mulnn,3],getStripe]],3]",7
47,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12","[BB,[mulnn,4],[SC,[BK,subnn,getStripe],getLength]]",5
48,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,3,6,9,12,3,6,9,12,3,6,9,12,3,6,9,12,3,6,9,12","[BC,[B,mulnn,getLength],[C,[B,subnn,getStripe],1]]",36
49,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12","[SK,[B,mulnn,getStripe],[C,[B,subnn,getStripe],1]]",20
50,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","[SS,[BB,mulnn,[SC,[BK,subnn,getStripe],getLength]],[SC,[BK,subnn,getStripe],getLength]]",1
51,"0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4,0,0,0,0,1,0,0,0,3,2,1,0,5,4,3,2,7,6,5,4","[CB,[B,subnn,[B,[mulnn,2],getDot]],getLength]",7
52,"0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6","[CK,[B,subnn,[B,[mulnn,2],getDot]],2]",2
53,"0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,8,8,8,8,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,5,7,7,7,7,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,6,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4","[SK,[B,subnn,[B,[mulnn,2],getDot]],getStripe]",4
54,"1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2","[CB,[B,subnn,[B,[addnn,2],getDot]],getLength]",13
55,"0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,1,0,0,0,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,2,1,0,0,3,2,1,0,4,3,2,1,5,4,3,2,6,5,4,3,3,2,1,0,4,3,2,1,5,4,3,2,6,5,4,3,7,6,5,4","[SB,[B,addnn,getStripe],[SS,[BK,subnn,getDot],[KB,getLength,I]]]",6
56,"0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,6,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,6,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,6,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,6,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,6,4,2,0","[BB,[mulnn,2],[SS,[BK,subnn,getDot],[KB,getLength,I]]]",6
57,"0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,9,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,9,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,9,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,9,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,9,6,3,0","[BB,[mulnn,3],[SS,[BK,subnn,getDot],[KB,getLength,I]]]",5
58,"0,0,0,0,0,0,0,0,4,0,0,0,8,4,0,0,12,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,0,0,12,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,0,0,12,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,0,0,12,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,0,0,12,8,4,0","[BB,[mulnn,4],[SS,[BK,subnn,getDot],[KB,getLength,I]]]",5
