"","model","exp_id","condition","phase","trial","params","LL"
"141","AG",4,"combine","B",5,-2.12601255025955,-967.51567265317
"142","AG",4,"combine","B",6,-2.064103841646,-978.319763828526
"143","AG",4,"combine","B",7,-2.11392250396952,-969.698412292463
"144","AG",4,"combine","B",8,-2.12598474629332,-967.476391968289
"145","AG",4,"flip","A",1,-3.24955286671861,-790.499317816509
"146","AG",4,"flip","A",2,-3.43417166121431,-706.927128605955
"147","AG",4,"flip","A",3,-3.38014032397046,-753.104354735914
"148","AG",4,"flip","A",4,-3.41030073498325,-743.06759698956
"149","AG",4,"flip","A",5,-3.44609387947981,-732.525867503121
"150","AG",4,"flip","A",6,-3.41493479966562,-740.149123231116
"151","AG",4,"flip","A",7,-3.37856795257593,-753.098624597554
"152","AG",4,"flip","A",8,-3.42923903412267,-736.479953529752
"153","AG",4,"flip","B",1,-1.83182600019233,-1123.97215884569
"154","AG",4,"flip","B",2,-1.57725368839745,-1161.26213710837
"155","AG",4,"flip","B",3,-1.78915880745347,-1135.25246625717
"156","AG",4,"flip","B",4,-1.96315763530395,-1108.09567225718
"157","AG",4,"flip","B",5,-1.78992881635776,-1135.14978627888
"158","AG",4,"flip","B",6,-1.82561361588506,-1129.73319678354
"159","AG",4,"flip","B",7,-1.76277592924967,-1138.73637389735
"160","AG",4,"flip","B",8,-1.88392731914197,-1120.34041966542
