"","model","exp_id","condition","phase","trial","params","LL"
"44","AG",1,"combine","B",4,-2.43703426702162,-899.544375833251
"45","AG",1,"combine","B",5,-2.45941944454834,-894.886038712896
"46","AG",1,"combine","B",6,-2.31781237430564,-919.246298683712
"47","AG",1,"combine","B",7,-2.51468924494624,-878.444273088111
"48","AG",1,"combine","B",8,-2.40149603533898,-906.47610820696
"49","AG",2,"construct","A",1,-2.03216683338319,-880.378745428594
"50","AG",2,"construct","A",2,-2.10194180715915,-868.197539565349
"51","AG",2,"construct","A",3,-1.91991928218047,-896.213927491535
"52","AG",2,"construct","A",4,-1.94334254298061,-892.519403709596
"53","AG",2,"construct","A",5,-2.06267783673213,-875.557268658016
"54","AG",2,"construct","A",6,-2.07597882622347,-873.519151873408
"55","AG",2,"construct","A",7,-1.96402068273752,-890.592997221326
"56","AG",2,"construct","A",8,-2.00730730196242,-884.327851105813
"57","AG",2,"construct","B",1,-2.47429764436329,-800.066637260442
"58","AG",2,"construct","B",2,-2.30065525710588,-832.520200458964
"59","AG",2,"construct","B",3,-2.41426722520149,-810.678620961882
"60","AG",2,"construct","B",4,-2.36633902962567,-820.383212381356
"61","AG",2,"construct","B",5,-2.48150887377862,-797.819228936728
"62","AG",2,"construct","B",6,-2.39301252041179,-815.321205740007
"63","AG",2,"construct","B",7,-2.38248459579699,-817.673704663359
"64","AG",2,"construct","B",8,-2.47157361523152,-800.265925304661
"65","AG",2,"decon","A",1,-2.12384940147812,-1086.05791622644
"66","AG",2,"decon","A",2,-2.37398147703828,-1044.22155525323
"67","AG",2,"decon","A",3,-2.46050765639389,-1028.80813589094
"68","AG",2,"decon","A",4,-2.50380500812753,-1027.51787364373
"69","AG",2,"decon","A",5,-2.39430030192537,-1042.10438481915
"70","AG",2,"decon","A",6,-2.48662152493831,-1023.08533605891
"71","AG",2,"decon","A",7,-2.43187276596655,-1035.88596621409
"72","AG",2,"decon","A",8,-2.30712137824288,-1069.57646328139
"73","AG",2,"decon","B",1,-1.95235261957537,-1108.16681925972
"74","AG",2,"decon","B",2,-2.17769464997404,-1074.67310785537
"75","AG",2,"decon","B",3,-2.31797631022478,-1053.06897236686
"76","AG",2,"decon","B",4,-2.31432488982787,-1060.49558019375
"77","AG",2,"decon","B",5,-2.25753941836804,-1066.49933081062
"78","AG",2,"decon","B",6,-2.32026804475146,-1051.47591451597
"79","AG",2,"decon","B",7,-2.44985618483124,-1029.06918623899
"80","AG",2,"decon","B",8,-2.28117416269242,-1067.49579343286
"81","AG",2,"combine","A",1,-1.67831081298565,-944.700905572365
"82","AG",2,"combine","A",2,-1.78983969005763,-931.560196724771
"83","AG",2,"combine","A",3,-1.65150620181687,-946.710107235001
"84","AG",2,"combine","A",4,-1.62820138588066,-949.881359713348
"85","AG",2,"combine","A",5,-1.74658337198324,-936.932952420342
"86","AG",2,"combine","A",6,-1.70545362632235,-941.076881721417
"87","AG",2,"combine","A",7,-1.6849883065827,-944.298450223512
"88","AG",2,"combine","A",8,-1.72401157601899,-939.255589172465
"89","AG",2,"combine","B",1,-2.15728639646627,-877.350934743292
"90","AG",2,"combine","B",2,-1.6960899722575,-941.215774105857
"91","AG",2,"combine","B",3,-2.03609642787181,-895.49628168103
"92","AG",2,"combine","B",4,-2.05203211706312,-893.29013703433
"93","AG",2,"combine","B",5,-2.11156500565835,-884.253964590456
"94","AG",2,"combine","B",6,-2.07745367839307,-890.308973236039
"95","AG",2,"combine","B",7,-2.0327567639062,-896.972221506496
"96","AG",2,"combine","B",8,-2.07447504220265,-890.488250677806
"97","AG",3,"combine","A",1,-2.1572082365853,-962.991697572146
"98","AG",3,"combine","A",2,-2.22768190446247,-949.480067013529
"99","AG",3,"combine","A",3,-2.13625804996351,-966.891767772648
"100","AG",3,"combine","A",4,-2.18990731937084,-956.20040339253
"101","AG",3,"combine","A",5,-2.24302588366581,-946.776163720435
"102","AG",3,"combine","A",6,-2.21780909071855,-951.408840744423
"103","AG",3,"combine","A",7,-2.04642139711796,-982.381806531939
"104","AG",3,"combine","A",8,-2.23242617432745,-949.098755389782
"105","AG",3,"combine","B",1,-1.75467976833345,-1048.4255795057
"106","AG",3,"combine","B",2,-1.68324678247551,-1038.40118818901
"107","AG",3,"combine","B",3,-2.06200385186488,-1009.6468162099
"108","AG",3,"combine","B",4,-2.15124786905287,-997.766139807504
"109","AG",3,"combine","B",5,-2.09899484103178,-1004.87662844702
"110","AG",3,"combine","B",6,-2.01278134951393,-1017.539696078
"111","AG",3,"combine","B",7,-2.2016555916069,-985.127576692777
"112","AG",3,"combine","B",8,-2.13089263953691,-1001.65621731822
"113","AG",3,"flip","A",1,-3.20810595100169,-810.194838723319
"114","AG",3,"flip","A",2,-3.42707771445335,-718.161660858273
"115","AG",3,"flip","A",3,-3.37009426566394,-758.946814666793
"116","AG",3,"flip","A",4,-3.40145284041715,-756.266803704461
"117","AG",3,"flip","A",5,-3.44561466300699,-737.726880650345
"118","AG",3,"flip","A",6,-3.43760641855,-745.889278212474
"119","AG",3,"flip","A",7,-3.42623557197544,-744.039542905211
"120","AG",3,"flip","A",8,-3.39728115833164,-756.582976700694
"121","AG",3,"flip","B",1,-1.00094195621885,-1208.33775404441
"122","AG",3,"flip","B",2,-0.380987642430261,-1233.64789119622
"123","AG",3,"flip","B",3,-1.23266638805013,-1191.67600970323
"124","AG",3,"flip","B",4,-1.22075176026231,-1192.20898068752
"125","AG",3,"flip","B",5,-1.28773189337158,-1187.14262701139
"126","AG",3,"flip","B",6,-1.29987628261919,-1185.87034040065
"127","AG",3,"flip","B",7,-0.664938317767161,-1224.75041138715
"128","AG",3,"flip","B",8,-1.26667233229973,-1188.81636672379
"129","AG",4,"combine","A",1,-1.62930842857244,-1041.6550732682
"130","AG",4,"combine","A",2,-1.74494591807852,-1026.17584984715
"131","AG",4,"combine","A",3,-1.61991350553414,-1041.82284081691
"132","AG",4,"combine","A",4,-1.6320226688345,-1041.29772241264
"133","AG",4,"combine","A",5,-1.69227715133768,-1034.10079440467
"134","AG",4,"combine","A",6,-1.65509986729059,-1038.07030915481
"135","AG",4,"combine","A",7,-1.66698082889245,-1037.62531339768
"136","AG",4,"combine","A",8,-1.67749560130877,-1036.03001542605
"137","AG",4,"combine","B",1,-2.09012944608883,-974.163542024102
"138","AG",4,"combine","B",2,-1.81963458597475,-1015.80329714914
"139","AG",4,"combine","B",3,-2.09604121978562,-970.9727100555
"140","AG",4,"combine","B",4,-2.06018930067628,-978.693256016228
"141","AG",4,"combine","B",5,-2.12601255025955,-967.51567265317
"142","AG",4,"combine","B",6,-2.064103841646,-978.319763828526
"143","AG",4,"combine","B",7,-2.11392250396952,-969.698412292463
"144","AG",4,"combine","B",8,-2.12598474629332,-967.476391968289
"145","AG",4,"flip","A",1,-3.29187084369279,-790.196380359979
"146","AG",4,"flip","A",2,-3.47922957330077,-706.096658795608
"147","AG",4,"flip","A",3,-3.41804153235294,-753.285222126296
"148","AG",4,"flip","A",4,-3.47260628574628,-741.460795292639
"149","AG",4,"flip","A",5,-3.49004339122326,-731.948815385015
"150","AG",4,"flip","A",6,-3.484297385641,-738.058479735765
"151","AG",4,"flip","A",7,-3.43768853412803,-750.899916804857
"152","AG",4,"flip","A",8,-3.50798931155598,-733.463209309626
"153","AG",4,"flip","B",1,-1.83182600019233,-1123.97215884569
"154","AG",4,"flip","B",2,-1.57725368839745,-1161.26213710837
"155","AG",4,"flip","B",3,-1.78915880745347,-1135.25246625717
"156","AG",4,"flip","B",4,-1.96315763530395,-1108.09567225718
"157","AG",4,"flip","B",5,-1.78992881635776,-1135.14978627888
"158","AG",4,"flip","B",6,-1.82561361588506,-1129.73319678354
"159","AG",4,"flip","B",7,-1.76277592924967,-1138.73637389735
"160","AG",4,"flip","B",8,-1.88392731914197,-1120.34041966542
