"","model","exp_id","condition","phase","trial","params","LL"
"89","PCFG",2,"combine","B",1,-1.3783115580786,-984.839662124381
"90","PCFG",2,"combine","B",2,-1.92810477513951,-934.631266702069
"91","PCFG",2,"combine","B",3,-2.18159727447091,-913.661433251128
"92","PCFG",2,"combine","B",4,-1.9081391072973,-939.457760184437
"93","PCFG",2,"combine","B",5,-2.09942186661578,-914.753332585773
"94","PCFG",2,"combine","B",6,-1.81353831833092,-953.784418112955
"95","PCFG",2,"combine","B",7,-2.15008232754009,-912.318440993125
"96","PCFG",2,"combine","B",8,-1.90599515671524,-940.470541207795
"97","PCFG",3,"combine","A",1,-2.25200256716517,-960.556209629292
"98","PCFG",3,"combine","A",2,-2.27276641515288,-950.503108559244
"99","PCFG",3,"combine","A",3,-2.19149097670953,-965.769369281938
"100","PCFG",3,"combine","A",4,-2.26580756449785,-953.822647607941
"101","PCFG",3,"combine","A",5,-2.31484122085121,-944.764226500455
"102","PCFG",3,"combine","A",6,-2.29873922182734,-948.695565634006
"103","PCFG",3,"combine","A",7,-2.13054973631895,-981.234200129422
"104","PCFG",3,"combine","A",8,-2.32176864916267,-946.52925426779
"105","PCFG",3,"combine","B",1,-2.4156681858257,-999.145398981375
"106","PCFG",3,"combine","B",2,-2.26053499636381,-1011.45949753346
"107","PCFG",3,"combine","B",3,-2.74058342612572,-950.976188399828
"108","PCFG",3,"combine","B",4,-2.8605396706885,-936.416027516976
"109","PCFG",3,"combine","B",5,-2.72981726189226,-949.625558008052
"110","PCFG",3,"combine","B",6,-2.75032323316321,-957.687558555333
"111","PCFG",3,"combine","B",7,-2.90242267040432,-923.588939771136
"112","PCFG",3,"combine","B",8,-2.87287256743305,-939.083331044667
"113","PCFG",3,"flip","A",1,-3.58278536521831,-772.908893743623
"114","PCFG",3,"flip","A",2,-3.8115490580879,-693.852006373545
"115","PCFG",3,"flip","A",3,-3.71097293494009,-724.032185238367
"116","PCFG",3,"flip","A",4,-3.78154613491506,-719.307444807075
"117","PCFG",3,"flip","A",5,-3.83354558357608,-701.125269180459
"118","PCFG",3,"flip","A",6,-3.84159540863986,-706.743621997101
"119","PCFG",3,"flip","A",7,-3.86276861471815,-702.930410085246
"120","PCFG",3,"flip","A",8,-3.82583826260816,-714.834503324773
"121","PCFG",3,"flip","B",1,-1.11979466413851,-1204.60857039759
"122","PCFG",3,"flip","B",2,-0.500890369745729,-1231.52283583658
"123","PCFG",3,"flip","B",3,-1.31798639024355,-1188.25396779066
"124","PCFG",3,"flip","B",4,-1.326614867912,-1187.88110851292
"125","PCFG",3,"flip","B",5,-1.36953721305855,-1183.84162640553
"126","PCFG",3,"flip","B",6,-1.39034833819986,-1182.15699641143
"127","PCFG",3,"flip","B",7,-0.778329642601948,-1222.56069225913
"128","PCFG",3,"flip","B",8,-1.36599487094423,-1184.80228862323
"129","PCFG",4,"combine","A",1,0.600375994344576,-1128.07405253651
"130","PCFG",4,"combine","A",2,-0.446784027039343,-1115.44067818404
"131","PCFG",4,"combine","A",3,-0.102625658821146,-1121.70251957511
"132","PCFG",4,"combine","A",4,-0.355506482265956,-1117.39189787249
"133","PCFG",4,"combine","A",5,-0.126878429904828,-1121.43322175871
"134","PCFG",4,"combine","A",6,-0.350821088089026,-1117.49654939961
"135","PCFG",4,"combine","A",7,-0.416394663633647,-1116.24007091095
"136","PCFG",4,"combine","A",8,0.31828692935173,-1126.41718853087
"137","PCFG",4,"combine","B",1,-1.33648086022325,-1082.93714763712
"138","PCFG",4,"combine","B",2,-1.72987738374156,-1049.27564888199
"139","PCFG",4,"combine","B",3,-1.96891850899342,-1031.60905457937
"140","PCFG",4,"combine","B",4,-1.66666795904285,-1057.31626668636
"141","PCFG",4,"combine","B",5,-1.88147248490312,-1033.14824130027
"142","PCFG",4,"combine","B",6,-1.6480252152233,-1063.14706596566
"143","PCFG",4,"combine","B",7,-1.93732875172275,-1030.53379714086
"144","PCFG",4,"combine","B",8,-1.71600489320968,-1054.86243873187
"145","PCFG",4,"flip","A",1,-2.63521603810417,-1033.42792679425
"146","PCFG",4,"flip","A",2,-2.97505121019586,-936.558082072597
"147","PCFG",4,"flip","A",3,-3.36816971833882,-882.253343399545
"148","PCFG",4,"flip","A",4,-2.83454374151761,-995.009498824295
"149","PCFG",4,"flip","A",5,-3.07537853845602,-911.418619081572
"150","PCFG",4,"flip","A",6,-2.84544564464149,-994.037899975344
"151","PCFG",4,"flip","A",7,-2.79396837653274,-976.963362634299
"152","PCFG",4,"flip","A",8,-2.82324688060368,-992.678377923371
"153","PCFG",4,"flip","B",1,1.5421024312359,-1249.00281308345
"154","PCFG",4,"flip","B",2,0.231269698222284,-1244.26217699786
"155","PCFG",4,"flip","B",3,0.753072401736492,-1247.35739234983
"156","PCFG",4,"flip","B",4,0.312486665035863,-1244.9171717847
"157","PCFG",4,"flip","B",5,0.382851331079328,-1245.44078042366
"158","PCFG",4,"flip","B",6,6.57539421752387,-1249.44706726409
"159","PCFG",4,"flip","B",7,0.216316672018034,-1244.15582121293
"160","PCFG",4,"flip","B",8,0.545011442136022,-1246.46289774451
