"","run","iter","depth","condition","cfit"
"174",1,5,1,"combine",-7739.33181086346
"175",1,5,1,"decon",-4352.2635934236
"176",1,5,1,"flip",-3898.78645170595
"177",1,6,2,"construct",-3772.97058344579
"178",1,6,2,"combine",-8478.05981666457
"179",1,6,2,"decon",-4833.75588959639
"180",1,6,2,"flip",-4243.10731961584
"181",1,6,1,"construct",-3784.72192045006
"182",1,6,1,"combine",-7630.21010319705
"183",1,6,1,"decon",-4325.00276431208
"184",1,6,1,"flip",-3944.303958644
"185",1,7,2,"construct",-3923.50436997087
"186",1,7,2,"combine",-7873.35327375565
"187",1,7,2,"decon",-4244.51424911325
"188",1,7,2,"flip",-3908.42362228511
"189",1,7,1,"construct",-3745.20477141835
"190",1,7,1,"combine",-7965.19217148724
"191",1,7,1,"decon",-4317.47336301854
"192",1,7,1,"flip",-4009.33419453181
"193",1,8,2,"construct",-3739.55662975978
"194",1,8,2,"combine",-8316.29773865246
"195",1,8,2,"decon",-4589.20995280641
"196",1,8,2,"flip",-4255.01843376508
"197",1,8,1,"construct",-3768.1438979426
"198",1,8,1,"combine",-7823.56293410845
"199",1,8,1,"decon",-4351.17240605721
"200",1,8,1,"flip",-4005.86894227819
"201",1,9,2,"construct",-3796.54589652743
"202",1,9,2,"combine",-7929.55474706086
"203",1,9,2,"decon",-4613.31259494286
"204",1,9,2,"flip",-3981.17631650297
"205",1,9,1,"construct",-3749.50898688476
"206",1,9,1,"combine",-7845.77197947125
"207",1,9,1,"decon",-4316.84150945541
"208",1,9,1,"flip",-4003.32647861229
"209",1,10,2,"construct",-3785.8841730634
"210",1,10,2,"combine",-8250.54382019922
"211",1,10,2,"decon",-4591.50167476996
"212",1,10,2,"flip",-4123.94113623784
"213",1,10,1,"construct",-3759.09702748339
"214",1,10,1,"combine",-7880.48214865205
"215",1,10,1,"decon",-4335.7806646885
"216",1,10,1,"flip",-3952.7892912576
"217",1,16,2,"construct",-3836.75004717624
"218",1,16,2,"combine",-7658.41465802295
"219",1,16,2,"decon",-4748.2977961309
"220",1,16,2,"flip",-3992.99007699916
"221",1,16,1,"construct",-3835.37207873555
"222",1,16,1,"combine",-7607.17333359229
"223",1,16,1,"decon",-4357.44242435095
"224",1,16,1,"flip",-3959.43853538618
"225",1,32,2,"construct",-3798.45845440357
"226",1,32,2,"combine",-7919.68629855756
"227",1,32,2,"decon",-4901.09463545798
"228",1,32,2,"flip",-4047.01481887196
"229",1,32,1,"construct",-3787.97071787967
"230",1,32,1,"combine",-8136.73772716963
"231",1,32,1,"decon",-4366.34678861621
"232",1,32,1,"flip",-4082.98537470899
"233",1,64,2,"construct",-3806.64375026377
"234",1,64,2,"combine",-7967.76514656249
"235",1,64,2,"decon",-4907.13632442385
"236",1,64,2,"flip",-4047.37220165416
"237",1,64,1,"construct",-3811.28202323021
"238",1,64,1,"combine",-8140.9622899978
"239",1,64,1,"decon",-4371.35612815072
"240",1,64,1,"flip",-4102.55322033337
"241",1,128,2,"construct",-3827.68417173213
"242",1,128,2,"combine",-7948.18813222661
"243",1,128,2,"decon",-4860.1140186975
"244",1,128,2,"flip",-4062.63880008685
"245",1,128,1,"construct",-3831.43196503026
"246",1,128,1,"combine",-8208.60824213336
"247",1,128,1,"decon",-4385.33213681125
"248",1,128,1,"flip",-4150.51233740341
"249",1,256,2,"construct",-3830.20151482626
"250",1,256,2,"combine",-8105.91662701702
"251",1,256,2,"decon",-4933.93242064261
"252",1,256,2,"flip",-4105.01954274805
"253",1,256,1,"construct",-3832.27713381843
"254",1,256,1,"combine",-8255.15391314372
"255",1,256,1,"decon",-4390.58717496841
"256",1,256,1,"flip",-4153.47952246141
"257",1,512,2,"construct",-3820.86442693132
"258",1,512,2,"combine",-7889.79230591156
"259",1,512,2,"decon",-4926.85969055547
"260",1,512,2,"flip",-4035.54493889329
"261",1,512,1,"construct",-3838.72679880523
"262",1,512,1,"combine",-8283.08598603747
"263",1,512,1,"decon",-4393.54846510912
"264",1,512,1,"flip",-4151.64820247363
"265",1,1024,2,"construct",-3829.74251447529
"266",1,1024,2,"combine",-8137.43315187636
"267",1,1024,2,"decon",-4978.67213252112
"268",1,1024,2,"flip",-4116.28017448664
"269",1,1024,1,"construct",-3839.38133819809
"270",1,1024,1,"combine",-8288.46622930195
"271",1,1024,1,"decon",-4395.42602739704
"272",1,1024,1,"flip",-4156.92312802752
"273",2,1,2,"construct",-3866.8650720758
"274",2,1,2,"combine",-9351.99641740624
"275",2,1,2,"decon",-4516.26894107059
"276",2,1,2,"flip",-5384.33510219139
"277",2,1,1,"construct",-4259.36100533147
"278",2,1,1,"combine",-8217.24575256986
"279",2,1,1,"decon",-4383.09961600231
"280",2,1,1,"flip",-4269.87114868487
"281",2,2,2,"construct",-3626.71181369299
"282",2,2,2,"combine",-8430.41220210406
"283",2,2,2,"decon",-4396.38967932646
