"","run","iter","depth","condition","cfit"
"188",1,7,2,"flip",-4064.68920828031
"189",1,7,1,"construct",-3743.58418227846
"190",1,7,1,"combine",-7895.89651937792
"191",1,7,1,"decon",-4466.43841829246
"192",1,7,1,"flip",-4357.700922556
"193",1,8,2,"construct",-3776.5067030361
"194",1,8,2,"combine",-8106.80338108607
"195",1,8,2,"decon",-4571.98354644307
"196",1,8,2,"flip",-4345.31214407607
"197",1,8,1,"construct",-3860.73143357825
"198",1,8,1,"combine",-8111.11858417525
"199",1,8,1,"decon",-4477.85141233347
"200",1,8,1,"flip",-4382.75626598244
"201",1,9,2,"construct",-3775.78876201994
"202",1,9,2,"combine",-8132.60834335145
"203",1,9,2,"decon",-4637.08431277866
"204",1,9,2,"flip",-4284.29637581915
"205",1,9,1,"construct",-3739.36968994889
"206",1,9,1,"combine",-8154.14148656022
"207",1,9,1,"decon",-4473.2699746369
"208",1,9,1,"flip",-4336.13138214143
"209",1,10,2,"construct",-3954.47415172234
"210",1,10,2,"combine",-7875.53708041149
"211",1,10,2,"decon",-4621.25857569311
"212",1,10,2,"flip",-4637.37655658332
"213",1,10,1,"construct",-3866.35028641191
"214",1,10,1,"combine",-8124.66035786822
"215",1,10,1,"decon",-4475.91791957391
"216",1,10,1,"flip",-4309.33031621966
"217",1,16,2,"construct",-3839.98999921861
"218",1,16,2,"combine",-7782.04205031584
"219",1,16,2,"decon",-4741.36286460391
"220",1,16,2,"flip",-4008.43704966507
"221",1,16,1,"construct",-3965.29808834443
"222",1,16,1,"combine",-8123.05472824254
"223",1,16,1,"decon",-4483.04903228153
"224",1,16,1,"flip",-4494.86745828268
"225",1,32,2,"construct",-3806.55565105305
"226",1,32,2,"combine",-7979.52492864244
"227",1,32,2,"decon",-4891.27309893067
"228",1,32,2,"flip",-4058.40154233146
"229",1,32,1,"construct",-3925.29832611547
"230",1,32,1,"combine",-8360.26091021578
"231",1,32,1,"decon",-4503.71487984696
"232",1,32,1,"flip",-4410.60280900168
"233",1,64,2,"construct",-3831.32887127852
"234",1,64,2,"combine",-7923.53395573339
"235",1,64,2,"decon",-4903.62868214357
"236",1,64,2,"flip",-4087.33050676204
"237",1,64,1,"construct",-3940.26185603637
