"","model","expt","condition","phase","trial","params","LL"
"26","similarity","exp_1","decon","B",2,"5.79554762654888, -0.0173648614886531, 6.26568647167588, 4.8534857226585",-152.126385002017
"27","similarity","exp_1","decon","B",3,"7.91855245212465, -0.0140758389033847, 8.17573454933482, 4.77923396839475",-147.984900334627
"28","similarity","exp_1","decon","B",4,"21.8626584677194, 0.287712786825663, -5.35609729809432, 2.72702559349954",-162.702864940933
"29","similarity","exp_1","decon","B",5,"7.01081852549445, 0.0247975289368011, 7.15728728703156, 4.85226640688299",-151.658130376657
"30","similarity","exp_1","decon","B",6,"7.31141999881076, 0.00601871931389499, 7.47950543823307, 4.75078328133514",-130.80660165014
"31","similarity","exp_1","decon","B",7,"5.72235756485937, 0.00102430978672593, 5.87231291351608, 5.28902662351664",-176.532269564243
"32","similarity","exp_1","decon","B",8,"7.34917009759749, -8.95904430500315e-05, 7.5171198475032, 5.06343244141212",-162.388761495519
"33","similarity","exp_1","combine","A",1,"6.10054238847461, 3.31363652352358, 8.11212349410438, 0.852113238717689",-133.244935907843
"34","similarity","exp_1","combine","A",2,"7.63805241311078, -8.72111121742741, 8.03450039422757, 1.64688727472142",-144.855085120193
"35","similarity","exp_1","combine","A",3,"5.66883361581842, -8.23900847933437, 6.29195465254118, 1.72230601858897",-151.144791437384
"36","similarity","exp_1","combine","A",4,"7.89864872781664, -14.0199424302839, 8.41181060506356, 1.81578456604497",-155.4222751601
"37","similarity","exp_1","combine","A",5,"6.97177830430411, -12.7420183527528, 7.3952462150243, 1.80644072772884",-153.109316935728
"38","similarity","exp_1","combine","A",6,"-6.81392166905797, 3.93276210847259, -6.81603624183613, 1.36712859257663",-158.829846555037
"39","similarity","exp_1","combine","A",7,"7.78393550689312, -9.47225718464355, 8.31132092912277, 1.91010607648785",-160.946325890313
"40","similarity","exp_1","combine","A",8,"6.77394718291733, -6.93717131391979, 7.35760776854971, 1.85773957159505",-158.267812811319
"41","similarity","exp_1","combine","B",1,"-0.366277705466025, 0.435910418112868, -0.34062243210659, 5.79762159669033",-81.8734929678853
"42","similarity","exp_1","combine","B",2,"-0.87653006918603, 0.2998291470986, -0.0736167994603177, 5.92623458581707",-157.948106371285
"43","similarity","exp_1","combine","B",3,"-0.76418884257961, 0.458255611092114, -0.834269998036958, 5.41658735919828",-171.941602580959
"44","similarity","exp_1","combine","B",4,"-0.418758590422191, 0.608335180481322, -0.325908437258567, 5.01369003533925",-117.053677724568
"45","similarity","exp_1","combine","B",5,"-0.371537806331134, 0.384437741745583, -0.329032700228312, 6.1057961377516",-142.601263562343
"46","similarity","exp_1","combine","B",6,"-0.423986915819852, 0.434151535083684, -0.426566317769754, 5.33634738868879",-108.074876656516
"47","similarity","exp_1","combine","B",7,"-0.0247491935383826, 0.386650146970949, -0.163483739097519, 8.12808262892622",-208.487426007455
"48","similarity","exp_1","combine","B",8,"-0.349540250295275, 0.352649552483434, -0.32054773833056, 6.22144798464416",-139.605450247634
