terms,arg_types,return_type,type,is_init,count,comp_lp
"[BK,[addnn,2],[S,[K,subnn,1],getDot]]",egg_num,num,program,0.0,10.0,-10.961277846683984
"[BK,[subnn,3],[S,[K,addnn,0],getDot]]",egg_num,num,program,0.0,9.0,-10.961277846683984
"[BC,[B,subnn,[K,getDot,Egg(S1,O3)]],getDot]",egg_num,num,program,0.0,24.0,-9.862665558015872
"[BK,[subnn,2],[S,[B,subnn,getDot],getStripe]]",egg_num,num,program,0.0,11.0,-10.044987114809828
"[SK,[B,subnn,[K,[addnn,1],3]],[B,[addnn,1],getDot]]",egg_num,num,program,0.0,3.0,-15.055622408906084
"[SC,[BK,subnn,[B,[subnn,4],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,4.0,-11.43128147592972
"[SK,[B,subnn,[B,[mulnn,3],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,9.0,-10.738134295369772
"[SC,[BK,subnn,[K,[subnn,3],0]],getDot]",egg_num,num,program,0.0,3.0,-11.654425027243928
"[SK,[B,subnn,[B,[subnn,4],getDot]],getStripe]",egg_num,num,program,0.0,8.0,-10.044987114809828
"[SC,[BK,subnn,[C,[K,subnn,4],1]],[B,getDot,I]]",egg_num,num,program,0.0,2.0,-13.04071938836382
"[SC,[BK,subnn,[S,[K,addnn,2],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,3.0,-12.124428656489664
"[SS,[BK,subnn,[B,[mulnn,4],getStripe]],[SK,[K,addnn,1],getDot]]",egg_num,num,program,0.0,3.0,-16.911920399271708
"[BK,[subnn,2],[C,[B,subnn,getDot],1]]",egg_num,num,program,0.0,6.0,-10.961277846683984
"[SC,[BK,subnn,[B,[addnn,2],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-11.43128147592972
"[CS,[BK,addnn,[B,[subnn,1],getDot]],[K,[mulnn,1],2]]",egg_num,num,program,0.0,2.0,-15.748769589466027
"[BC,[K,mulnn,1],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,16.0,-10.961277846683984
"[CB,[B,addnn,[B,[subnn,4],getDot]],[S,[K,subnn,2],[B,I,I]]]",egg_num,num,program,0.0,2.0,-15.52562603815182
"[SC,[BK,subnn,[K,[mulnn,1],3]],getDot]",egg_num,num,program,0.0,11.0,-11.654425027243928
"[SK,[B,subnn,[S,[K,addnn,2],getStripe]],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,3.0,-14.832478857591871
"[SK,[K,addnn,3],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,7.0,-10.961277846683984
"[BC,[K,subnn,2],[S,[B,subnn,getDot],getStripe]]",egg_num,num,program,0.0,5.0,-10.738134295369774
"[SC,[KB,addnn,[B,I,I]],[B,[subnn,0],getDot]]",egg_num,num,program,0.0,2.0,-11.43128147592972
"[SK,[B,addnn,[B,[subnn,2],getDot]],[K,getStripe,Egg(S1,O2)]]",egg_num,num,program,0.0,3.0,-13.957010120237976
"[SC,[BK,subnn,[S,[K,subnn,4],getStripe]],[S,[B,mulnn,getStripe],getDot]]",egg_num,num,program,0.0,2.0,-15.302482486837608
"[SC,[KB,subnn,[K,getDot,Egg(S1,O3)]],getDot]",egg_num,num,program,0.0,9.0,-10.555812738575815
"[SC,[BK,mulnn,[B,[subnn,3],getDot]],getStripe]",egg_num,num,program,0.0,14.0,-10.738134295369772
"[SC,[BK,subnn,[B,[mulnn,3],getStripe]],getDot]",egg_num,num,program,0.0,6.0,-10.738134295369772
"[SK,[B,addnn,[B,[addnn,1],getStripe]],[S,[B,subnn,getStripe],getDot]]",egg_num,num,program,0.0,2.0,-13.916188125717715
"[BB,[subnn,3],[SK,[K,addnn,0],getDot]]",egg_num,num,program,0.0,1.0,-12.347572207803877
"[CK,[B,addnn,[S,[K,subnn,2],getDot]],1]",egg_num,num,program,0.0,2.0,-11.654425027243928
"[BB,[subnn,0],[CK,[B,subnn,getDot],3]]",egg_num,num,program,0.0,1.0,-12.347572207803877
