,pair_index,agent,recipient,result,ground_truth,model_alt,model_heur,random_choice,IG,weight
59,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L8)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
60,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L9)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
61,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L10)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
62,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L11)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
63,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L12)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
64,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L13)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
65,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L14)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
66,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L15)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
67,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L16)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
68,4,"Stone(S0,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L0)",1,1,0,0.058823529411764705,0.4764131289378875,0.6417112299465241
69,4,"Stone(S0,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L1)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
70,4,"Stone(S0,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L2)",0,0,1,0.058823529411764705,1.1457578449909729,0.27807486631016043
71,4,"Stone(S0,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L3)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
72,4,"Stone(S0,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L4)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
