"","model","exp_id","condition","phase","trial","params","LL"
"84","AG",2,"combine","A",4,1.791400348391,-1659.24537370343
"85","AG",2,"combine","A",5,1.89125310805473,-1646.72202826125
"86","AG",2,"combine","A",6,1.86676122978807,-1650.34719616272
"87","AG",2,"combine","A",7,1.84090079876353,-1654.01803323817
"88","AG",2,"combine","A",8,1.88081319870362,-1648.59692343975
"89","AG",2,"combine","B",1,2.26140566001076,-1586.80867128937
"90","AG",2,"combine","B",2,1.85907969166895,-1650.36876298352
"91","AG",2,"combine","B",3,2.15655006376387,-1604.62554358973
"92","AG",2,"combine","B",4,2.17068435668069,-1602.46464790435
"93","AG",2,"combine","B",5,2.21888011605032,-1593.74577038066
"94","AG",2,"combine","B",6,2.18210369953448,-1600.1193767802
"95","AG",2,"combine","B",7,2.1459933363391,-1606.54861365282
"96","AG",2,"combine","B",8,2.18108528816437,-1600.18329143495
"97","AG",3,"combine","A",1,2.29074546772326,-1740.06114632526
"98","AG",3,"combine","A",2,2.349053775655,-1726.94026970358
"99","AG",3,"combine","A",3,2.26340332162595,-1744.12359746036
"100","AG",3,"combine","A",4,2.31640192026465,-1733.2565182999
"101","AG",3,"combine","A",5,2.36161424013487,-1723.92494716474
"102","AG",3,"combine","A",6,2.33989643283922,-1728.55053308282
"103","AG",3,"combine","A",7,2.18830534964644,-1759.30499073314
"104","AG",3,"combine","A",8,2.3586530558808,-1726.02978234115
"105","AG",3,"combine","B",1,3.04667939404101,-1534.87648396454
"106","AG",3,"combine","B",2,2.78222131268094,-1609.95390825455
"107","AG",3,"combine","B",3,2.91341611928061,-1573.09295061204
"108","AG",3,"combine","B",4,2.92549769683924,-1570.16383777915
"109","AG",3,"combine","B",5,2.93195887457449,-1567.28553523582
"110","AG",3,"combine","B",6,2.94502228651052,-1564.30892465951
"111","AG",3,"combine","B",7,2.94082057690887,-1564.3639915858
"112","AG",3,"combine","B",8,2.95160819179226,-1561.50920443835
"113","AG",3,"flip","A",1,3.19986703981538,-1686.44568445514
"114","AG",3,"flip","A",2,3.44149001647599,-1582.23476181237
"115","AG",3,"flip","A",3,3.353075773149,-1635.44503992893
"116","AG",3,"flip","A",4,3.36340805589488,-1635.01325181507
"117","AG",3,"flip","A",5,3.40579449751338,-1616.04977546515
"118","AG",3,"flip","A",6,3.3939033141889,-1625.00930723306
"119","AG",3,"flip","A",7,3.39464921392433,-1622.14439255553
"120","AG",3,"flip","A",8,3.36536663290949,-1634.99904549485
"121","AG",3,"flip","B",1,1.92575858120339,-1985.31973409297
"122","AG",3,"flip","B",2,1.6590793676097,-2026.47467414013
"123","AG",3,"flip","B",3,1.91405282179289,-1987.21058615944
"124","AG",3,"flip","B",4,2.01752131024726,-1968.00083185534
"125","AG",3,"flip","B",5,1.93680869921428,-1983.31723729119
"126","AG",3,"flip","B",6,1.93625855833023,-1983.36213790147
"127","AG",3,"flip","B",7,1.76691668484919,-2010.98412350317
"128","AG",3,"flip","B",8,2.01052320274654,-1969.68070774864
"129","AG",4,"combine","A",1,1.79652715406263,-1819.3188497626
"130","AG",4,"combine","A",2,1.90479720885161,-1803.25082329632
"131","AG",4,"combine","A",3,1.79307193616651,-1819.21144441971
"132","AG",4,"combine","A",4,1.78930465276153,-1819.07188219227
"133","AG",4,"combine","A",5,1.8433440750366,-1812.02588923348
"134","AG",4,"combine","A",6,1.82020101247356,-1815.62290379419
"135","AG",4,"combine","A",7,1.82268575873167,-1815.59705775772
"136","AG",4,"combine","A",8,1.83391250899036,-1813.83428098792
"137","AG",4,"combine","B",1,2.19756690145785,-1752.04582802727
"138","AG",4,"combine","B",2,1.96203278876498,-1793.3460308334
"139","AG",4,"combine","B",3,2.21249200395134,-1748.1188198878
"140","AG",4,"combine","B",4,2.17117667368649,-1756.45392524673
"141","AG",4,"combine","B",5,2.22604540621962,-1745.56923507253
"142","AG",4,"combine","B",6,2.16976760766554,-1756.34362441056
"143","AG",4,"combine","B",7,2.21504307525641,-1747.74765214205
"144","AG",4,"combine","B",8,2.22413408347949,-1745.61491550952
"145","AG",4,"flip","A",1,3.19021033101596,-1670.04476594111
"146","AG",4,"flip","A",2,3.42007436133424,-1569.87211986874
"147","AG",4,"flip","A",3,3.30175002383493,-1634.64806970915
"148","AG",4,"flip","A",4,3.32957538814486,-1624.77724915413
"149","AG",4,"flip","A",5,3.35881801169033,-1614.79322360686
"150","AG",4,"flip","A",6,3.33745768097534,-1621.55881690881
"151","AG",4,"flip","A",7,3.29943730619335,-1634.64120022345
"152","AG",4,"flip","A",8,3.34741916064547,-1618.22285970824
"153","AG",4,"flip","B",1,1.95525083314305,-1984.58064483199
"154","AG",4,"flip","B",2,1.70827418078086,-2022.96764852003
"155","AG",4,"flip","B",3,1.87655085810577,-1998.20901339828
"156","AG",4,"flip","B",4,2.02800766764418,-1971.62105249845
"157","AG",4,"flip","B",5,1.87565531556316,-1998.16296589106
"158","AG",4,"flip","B",6,1.90993031393157,-1992.69840310961
"159","AG",4,"flip","B",7,1.85053566274246,-2001.66976939969
"160","AG",4,"flip","B",8,1.96018338612001,-1983.46008413046
