"","model","exp_id","condition","phase","trial","params","LL"
"110","PCFG",3,"combine","B",6,3.2642578249915,-1598.56976397654
"111","PCFG",3,"combine","B",7,3.560497888061,-1580.84880078891
"112","PCFG",3,"combine","B",8,3.31395116134774,-1585.43862027611
"113","PCFG",3,"flip","A",1,3.53164070461513,-1663.45581869822
"114","PCFG",3,"flip","A",2,3.72183299638454,-1578.18720598595
"115","PCFG",3,"flip","A",3,3.68294483524115,-1611.97904296368
"116","PCFG",3,"flip","A",4,3.71893878909289,-1611.02302375953
"117","PCFG",3,"flip","A",5,3.74501488656692,-1592.7522658392
"118","PCFG",3,"flip","A",6,3.75345982587962,-1600.47196277497
"119","PCFG",3,"flip","A",7,3.74698162090406,-1597.73527359944
"120","PCFG",3,"flip","A",8,3.72110036790655,-1610.33826669423
"121","PCFG",3,"flip","B",1,3.26908954841113,-1825.07922864135
"122","PCFG",3,"flip","B",2,2.95525354806294,-1896.70735404205
"123","PCFG",3,"flip","B",3,2.86417551589306,-1872.05047218449
"124","PCFG",3,"flip","B",4,2.9183564253473,-1859.08038043703
"125","PCFG",3,"flip","B",5,2.88235715914206,-1867.74425487212
"126","PCFG",3,"flip","B",6,2.89447439216729,-1864.84841202353
"127","PCFG",3,"flip","B",7,3.08110375036511,-1869.5404156111
"128","PCFG",3,"flip","B",8,2.94835952338427,-1851.72055377561
"129","PCFG",4,"combine","A",1,1.88250146360598,-1819.87433199848
"130","PCFG",4,"combine","A",2,1.98286374622745,-1804.23254473031
"131","PCFG",4,"combine","A",3,1.85462145950026,-1819.60486147331
"132","PCFG",4,"combine","A",4,1.85830121933481,-1819.12654619712
"133","PCFG",4,"combine","A",5,1.90729783988806,-1812.58596996615
"134","PCFG",4,"combine","A",6,1.88328933966046,-1815.82855315967
"135","PCFG",4,"combine","A",7,1.91184977582858,-1816.07777464436
"136","PCFG",4,"combine","A",8,1.91478710314601,-1814.16312991427
"137","PCFG",4,"combine","B",1,3.03642369417882,-1700.41571830416
"138","PCFG",4,"combine","B",2,2.71367288222204,-1757.97152709691
"139","PCFG",4,"combine","B",3,2.80859973288019,-1705.39639980032
"140","PCFG",4,"combine","B",4,2.72555174714931,-1722.0568548853
"141","PCFG",4,"combine","B",5,2.80156469900011,-1706.84228061273
"142","PCFG",4,"combine","B",6,2.69010350503104,-1728.89630027774
