condition,phase,trial,prediction,n,raw_ag,fitted_ag,raw_agr,fitted_agr,raw_rr,fitted_rr,raw_sim,fitted_sim,raw_gp,fitted_gp,raw_mm,fitted_mm,raw_lm,fitted_lm,rand
decon,A,4,14,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,2.0595399729114707e-93,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,4,15,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,8.976694138202138e-108,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,4,16,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,3.601929054683321e-123,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,0,5,3e-4,0.03697032629092526,3e-4,0.03201506461315438,0.2815785414802318,0.15889436844729396,0.12602348100450025,0.08268219268729163,0.1298461794213249,0.0877130245440126,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,1,7,0,0.036858303639486646,0,0.031877640580112956,6.7078028448245155e-6,0.03240056081881311,0,0.03793883012776904,0.35480871914087364,0.17921980717309227,1,0.20175529525622682,0,0.05219150311439334,0.058823529411764705
decon,A,5,2,24,0,0.036858303639486646,0,0.031877640580112956,0.0483028882856866,0.054097218767159616,0.8739765189954998,0.3482353553961729,0.3598938815592899,0.18128827089436642,0,0.049890294046485824,0.6699999999999999,0.12773028264145314,0.058823529411764705
decon,A,5,3,30,0.9996,0.41011777823296225,0.9996,0.4897745186741374,0.06409491946844877,0.061191657612147385,0,0.03793883012776904,0.13550949118224984,0.09001665891315569,0,0.049890294046485824,0.33000000000000007,0.0893971706426467,0.058823529411764705
decon,A,5,4,31,0,0.036858303639486646,0,0.031877640580112956,0.26421047868122777,0.1510919104887548,0,0.03793883012776904,0.018940002727522907,0.0426003252670843,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,5,17,0,0.036858303639486646,0,0.031877640580112956,6.44018946049456e-4,0.03268686755658284,0,0.03793883012776904,9.826648720376236e-4,0.03529591710300789,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,6,3,0,0.036858303639486646,0,0.031877640580112956,0.21752422329970342,0.13011849802062078,0,0.03793883012776904,1.892543614999283e-5,0.034903902080503334,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,7,0,0,0.036858303639486646,0,0.031877640580112956,0.12363822203580586,0.08794099174174425,0,0.03793883012776904,1.3530113319200472e-7,0.03489625891999005,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,8,0,0,0.036858303639486646,0,0.031877640580112956,1.4625192712908096e-15,0.032397547394098725,0,0.03793883012776904,3.5906414705398434e-10,0.034896204030342215,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,9,0,1e-4,0.03689564452329952,1e-4,0.031923448591126766,0,0.032397547394098065,0,0.03793883012776904,3.537184575492444e-13,0.034896203884431536,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,10,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.293476295094401e-16,0.03489620388428771,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,11,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.7557969771563864e-20,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,12,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,8.847186684929252e-25,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,13,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.6548215099007782e-29,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,14,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.148979274187079e-34,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,15,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,2.9613402098431424e-40,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,5,16,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,2.833214683898931e-46,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,0,18,2e-4,0.036932985407112394,2e-4,0.031969256602140575,0.04928558140245549,0.05453868548791414,0.23251057805216216,0.12048935967821502,0.3101269856875105,0.1610448626880924,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,1,26,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,0.3573061566180378,0.18023567616460293,0.999999224466242,0.20175517747979171,0,0.05219150311439334,0.058823529411764705
decon,A,6,2,17,0.9333,0.38536077226502763,0.9333,0.4594038073719827,0.26322089216160255,0.1506473469640216,0.7674894219478379,0.3104281884052495,0.23047570466284673,0.12864554648221171,0,0.049890294046485824,0.6699999999999999,0.12773028264145314,0.058823529411764705
decon,A,6,3,20,0.0664,0.061652650491234126,0.0664,0.06229415989328145,0,0.032397547394098065,0,0.03793883012776904,0.0832326101301892,0.0687522777547602,0,0.049890294046485824,0.33000000000000007,0.0893971706426467,0.058823529411764705
decon,A,6,4,16,0,0.036858303639486646,0,0.031877640580112956,0.35952009465413853,0.1939089638515393,0,0.03793883012776904,0.016828506983049135,0.04174144368460989,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,5,5,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,0.0019049403063620158,0.03567106604024017,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,6,11,1e-4,0.03689564452329952,1e-4,0.031923448591126766,6.439490731031559e-4,0.032686836166742055,0,0.03793883012776904,1.2072601501154556e-4,0.034945310945521536,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,7,1,0,0.036858303639486646,0,0.031877640580112956,4.2516904931541435e-25,0.032397547394098065,0,0.03793883012776904,4.283552266632685e-6,0.034897946281429115,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,8,2,0,0.036858303639486646,0,0.031877640580112956,0.2642104786812278,0.15109191048875484,0,0.03793883012776904,8.509244173280729e-8,0.034896238496875065,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,9,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,9.463714107436575e-10,0.034896204269237986,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,10,0,0,0.036858303639486646,0,0.031877640580112956,0.0631189341545262,0.06075320431610856,0,0.03793883012776904,5.892721943577685e-12,0.03489620388668461,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,11,1,0,0.036858303639486646,0,0.031877640580112956,6.987294630025564e-8,0.03239757878393885,0,0.03793883012776904,2.0542533130935706e-14,0.03489620388429601,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,12,0,0,0.036858303639486646,0,0.031877640580112956,3.0612171550710076e-23,0.032397547394098065,0,0.03793883012776904,4.0093664687960443e-17,0.03489620388428767,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,13,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,4.3810803914873885e-20,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,14,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,2.6802197399888513e-23,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,15,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,9.1800128920996e-27,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,6,16,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.7603535131438132e-30,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,0,14,0,0.036858303639486646,0,0.031877640580112956,0.6572109124746186,0.3276440912268635,0.04859646786590191,0.05519251462771228,0.2804416733016617,0.14896993042979453,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,1,3,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,0.3397515533800665,0.17309508615953204,1,0.20175529525622682,0,0.05219150311439334,0.058823529411764705
decon,A,7,2,8,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0.9514035321340981,0.3757250334557522,0.24445694008646815,0.13433261719358555,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,3,36,0.9403,0.38797463413192873,0.9403,0.4626103681429493,6.707802844824517e-6,0.03240056081881311,0,0.03793883012776904,0.10446367750475488,0.07738832298099974,0,0.049890294046485824,0.6699999999999999,0.12773028264145314,0.058823529411764705
decon,A,7,4,29,0.0593,0.05900144774052016,0.0593,0.05904179111130108,0,0.032397547394098065,0,0.03793883012776904,0.02651247479803441,0.04568053833982487,0,0.049890294046485824,0.33000000000000007,0.0893971706426467,0.058823529411764705
