,terms
391,"[CK,[K,[ifElse,False],Stone(Red,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
392,"[CK,[K,[ifElse,False],Stone(Red,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
393,"[CK,[K,[ifElse,False],Stone(Red,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
394,"[CK,[K,[ifElse,False],Stone(Red,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
395,"[CK,[K,[ifElse,False],Stone(Red,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
396,"[CK,[K,[ifElse,False],Stone(Red,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
397,"[CK,[K,[ifElse,False],Stone(Red,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
398,"[CK,[K,[ifElse,False],Stone(Red,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
399,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
400,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
401,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
402,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
403,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
404,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
405,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
406,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
407,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
408,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
409,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
410,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
411,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
412,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
413,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
414,"[CK,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
415,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
416,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
417,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
418,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
419,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
420,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
421,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
422,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
423,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
424,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
425,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
426,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
427,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
428,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
429,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
430,"[CK,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
431,"[BC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]"
432,"[BK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]"
433,"[SC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]"
434,"[SK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]"
435,"[KC,[B,[ifElse,False],I],Stone(Red,S3,Square,S3,Dotted,S1)]"
436,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Dotted,S1)]"
437,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Dotted,S3)]"
438,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Plain,S1)]"
439,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Plain,S3)]"
440,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Dotted,S1)]"
441,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Dotted,S3)]"
442,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Plain,S1)]"
443,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Plain,S3)]"
444,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Dotted,S1)]"
445,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Dotted,S3)]"
446,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Plain,S1)]"
447,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Plain,S3)]"
448,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Dotted,S1)]"
449,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Dotted,S3)]"
450,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Plain,S1)]"
451,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Plain,S3)]"
452,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Dotted,S1)]"
453,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Dotted,S3)]"
454,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Plain,S1)]"
455,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Plain,S3)]"
456,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
457,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S3)]"
458,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Plain,S1)]"
459,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Plain,S3)]"
460,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Dotted,S1)]"
461,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Dotted,S3)]"
462,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Plain,S1)]"
463,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Plain,S3)]"
464,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Dotted,S1)]"
465,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Dotted,S3)]"
466,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Plain,S1)]"
467,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Plain,S3)]"
468,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Dotted,S1)]"
469,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Dotted,S3)]"
470,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Plain,S1)]"
471,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Plain,S3)]"
472,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Dotted,S1)]"
473,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Dotted,S3)]"
474,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Plain,S1)]"
475,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Plain,S3)]"
476,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Dotted,S1)]"
477,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Dotted,S3)]"
478,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Plain,S1)]"
479,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Plain,S3)]"
480,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Dotted,S1)]"
481,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Dotted,S3)]"
482,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Plain,S1)]"
483,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Plain,S3)]"
484,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Dotted,S1)]"
485,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Dotted,S3)]"
486,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Plain,S1)]"
487,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Plain,S3)]"
488,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Dotted,S1)]"
489,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Dotted,S3)]"
490,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Plain,S1)]"
491,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Plain,S3)]"
492,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Dotted,S1)]"
493,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Dotted,S3)]"
494,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Plain,S1)]"
495,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Plain,S3)]"
496,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Dotted,S1)]"
497,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Dotted,S3)]"
498,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Plain,S1)]"
499,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Plain,S3)]"
500,"[KC,[K,[ifElse,False],Stone(Red,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
501,"[KC,[K,[ifElse,False],Stone(Red,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
502,"[KC,[K,[ifElse,False],Stone(Red,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
503,"[KC,[K,[ifElse,False],Stone(Red,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
504,"[KC,[K,[ifElse,False],Stone(Red,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
505,"[KC,[K,[ifElse,False],Stone(Red,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
506,"[KC,[K,[ifElse,False],Stone(Red,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
507,"[KC,[K,[ifElse,False],Stone(Red,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
508,"[KC,[K,[ifElse,False],Stone(Red,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
509,"[KC,[K,[ifElse,False],Stone(Red,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
510,"[KC,[K,[ifElse,False],Stone(Red,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
511,"[KC,[K,[ifElse,False],Stone(Red,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
512,"[KC,[K,[ifElse,False],Stone(Red,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
513,"[KC,[K,[ifElse,False],Stone(Red,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
514,"[KC,[K,[ifElse,False],Stone(Red,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
515,"[KC,[K,[ifElse,False],Stone(Red,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
516,"[KC,[K,[ifElse,False],Stone(Red,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
517,"[KC,[K,[ifElse,False],Stone(Red,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
518,"[KC,[K,[ifElse,False],Stone(Red,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
519,"[KC,[K,[ifElse,False],Stone(Red,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
520,"[KC,[K,[ifElse,False],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
521,"[KC,[K,[ifElse,False],Stone(Red,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
522,"[KC,[K,[ifElse,False],Stone(Red,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
523,"[KC,[K,[ifElse,False],Stone(Red,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
524,"[KC,[K,[ifElse,False],Stone(Red,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
525,"[KC,[K,[ifElse,False],Stone(Red,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
526,"[KC,[K,[ifElse,False],Stone(Red,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
527,"[KC,[K,[ifElse,False],Stone(Red,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
528,"[KC,[K,[ifElse,False],Stone(Red,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
529,"[KC,[K,[ifElse,False],Stone(Red,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
530,"[KC,[K,[ifElse,False],Stone(Red,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
531,"[KC,[K,[ifElse,False],Stone(Red,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
532,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
533,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
534,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
535,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
536,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
537,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
538,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
539,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
540,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
541,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
542,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
543,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
544,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
545,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
546,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
547,"[KC,[K,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
548,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
549,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
550,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
551,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
552,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
553,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
554,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
555,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
556,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
557,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
558,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
559,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
560,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
561,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
562,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
563,"[KC,[K,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
564,"[KB,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]"
565,"[KS,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]"
566,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Dotted,S1)]"
567,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Dotted,S3)]"
568,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Plain,S1)]"
569,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Plain,S3)]"
570,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Dotted,S1)]"
571,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Dotted,S3)]"
572,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Plain,S1)]"
573,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Plain,S3)]"
574,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Dotted,S1)]"
575,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Dotted,S3)]"
576,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Plain,S1)]"
577,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Plain,S3)]"
578,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Dotted,S1)]"
579,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Dotted,S3)]"
580,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Plain,S1)]"
581,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Plain,S3)]"
582,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Dotted,S1)]"
583,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Dotted,S3)]"
584,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Plain,S1)]"
585,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Plain,S3)]"
586,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
587,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S3)]"
588,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Plain,S1)]"
