,terms
78,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
79,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
80,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
81,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
82,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
83,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
84,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
85,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
86,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
87,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
88,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
89,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
90,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
91,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
92,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
93,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
94,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
95,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
96,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
97,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
98,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
99,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
100,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
101,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
102,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
103,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
104,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
105,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
106,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
107,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
108,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
109,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
110,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
111,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
112,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
113,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
114,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
115,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
116,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
117,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
118,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
119,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
120,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
121,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
122,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
123,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
124,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
125,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
126,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
127,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
128,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
129,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
130,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
131,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
132,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
133,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
134,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
135,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
136,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
137,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
138,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
139,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
140,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
141,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
142,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
143,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
144,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
145,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
146,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
147,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
148,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
149,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
150,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
151,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
152,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
153,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
154,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
